03433710+2338322,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+43+37.10+%2B23+38+32.2+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03441396+2532155,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+44+13.96+%2B25+32+15.5+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03510274+2325420,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+51+02.74+%2B23+25+42.0+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03505403+2309119,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+50+54.03+%2B23+09+11.9+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03454440+2413132,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+45+44.40+%2B24+13+13.2+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03435812+3213568,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+43+58.12+%2B32+13+56.8+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
03441776+3204476,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03+44+17.76+%2B32+04+47.6+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
05345563-0601036,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05+34+55.63-06+01+03.6+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
05350326-0449209,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05+35+03.26-04+49+20.9+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
05350392-0529033,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05+35+03.92-05+29+03.3+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
05352989-0512103,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05+35+29.89-05+12+10.3+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
05351077-0651557,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05+35+10.77-06+51+55.7+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
05351580-0646291,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05+35+15.80-06+46+29.1+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
05432464-0813275,http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=05+43+24.64-08+13+27.5+&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcsec&submit=submit+query
